,Date,Demand
96,1964-01,106.1
97,1964-02,102.1
98,1964-03,105.2
99,1964-04,101.0
100,1964-05,84.3
101,1964-06,87.5
102,1964-07,92.7
103,1964-08,94.4
104,1964-09,113.0
105,1964-10,113.9
106,1964-11,122.9
107,1964-12,132.7
108,1965-01,106.9
109,1965-02,96.6
110,1965-03,127.3
111,1965-04,98.2
112,1965-05,100.2
113,1965-06,89.4
114,1965-07,95.3
115,1965-08,104.2
116,1965-09,106.4
117,1965-10,116.2
118,1965-11,135.9
119,1965-12,134.0
120,1966-01,104.6
121,1966-02,107.1
122,1966-03,123.5
123,1966-04,98.8
124,1966-05,98.6
125,1966-06,90.6
126,1966-07,89.1
127,1966-08,105.2
128,1966-09,114.0
129,1966-10,122.1
130,1966-11,138.0
131,1966-12,142.2
132,1967-01,116.4
133,1967-02,112.6
134,1967-03,123.8
135,1967-04,103.6
136,1967-05,113.9
137,1967-06,98.6
138,1967-07,95.0
139,1967-08,116.0
140,1967-09,113.9
141,1967-10,127.5
142,1967-11,131.4
143,1967-12,145.9
144,1968-01,131.5
145,1968-02,131.0
146,1968-03,130.5
147,1968-04,118.9
148,1968-05,114.3
149,1968-06,85.7
150,1968-07,104.6
151,1968-08,105.1
152,1968-09,117.3
153,1968-10,142.5
154,1968-11,140.0
155,1968-12,159.8
156,1969-01,131.2
157,1969-02,125.4
158,1969-03,126.5
159,1969-04,119.4
160,1969-05,113.5
161,1969-06,98.7
162,1969-07,114.5
163,1969-08,113.8
164,1969-09,133.1
165,1969-10,143.4
166,1969-11,137.3
167,1969-12,165.2
168,1970-01,126.9
169,1970-02,124.0
170,1970-03,135.7
171,1970-04,130.0
172,1970-05,109.4
173,1970-06,117.8
174,1970-07,120.3
175,1970-08,121.0
176,1970-09,132.3
177,1970-10,142.9
178,1970-11,147.4
179,1970-12,175.9
180,1971-01,132.6
181,1971-02,123.7
182,1971-03,153.3
183,1971-04,134.0
184,1971-05,119.6
185,1971-06,116.2
186,1971-07,118.6
187,1971-08,130.7
188,1971-09,129.3
189,1971-10,144.4
190,1971-11,163.2
191,1971-12,179.4
192,1972-01,128.1
193,1972-02,138.4
194,1972-03,152.7
195,1972-04,120.0
196,1972-05,140.5
197,1972-06,116.2
198,1972-07,121.4
199,1972-08,127.8
200,1972-09,143.6
201,1972-10,157.6
202,1972-11,166.2
203,1972-12,182.3
204,1973-01,153.1
205,1973-02,147.6
206,1973-03,157.7
207,1973-04,137.2
208,1973-05,151.5
209,1973-06,98.7
210,1973-07,145.8
211,1973-08,151.7
212,1973-09,129.4
213,1973-10,174.1
214,1973-11,197.0
215,1973-12,193.9
216,1974-01,164.1
